"Site","Date.Set","Time.Set","Date.Collected","Time.Collected","Survey","Frass.mass..mg.","Frass.number","Notes"
"Botanical Garden","5/22/2015",11:45:00,"5/25/2015",08:50:00,"8B",0.6,6,NA
"Botanical Garden","5/22/2015",11:35:00,"5/25/2015",08:45:00,"8D",2.1,4,NA
"Botanical Garden","5/22/2015",09:12:00,"5/25/2015",10:49:00,"2C",0.1,1,NA
"Prairie Ridge","5/21/2015",12:06:00,"5/26/2015",10:40:00,"12E",2.3,8,"edge partially folded over"
"Prairie Ridge","5/21/2015",13:49:00,"5/26/2015",09:37:00,"7E",2.5,7,"paper slightly folded over"
"Prairie Ridge","5/21/2015",11:25:00,"5/26/2015",11:15:00,"4E",3.7,10,"hole in funnel bottom"
"Prairie Ridge","5/21/2015",11:35:00,"5/26/2015",11:00:00,"5E",2,2,"funnel tilted 30 degrees"
"Prairie Ridge","5/21/2015",10:05:00,"5/26/2015",11:45:00,"2E",2,11,NA
"Prairie Ridge","5/21/2015",10:19:00,"5/26/2015",12:03:00,"1E",2.3,8,NA
"Prairie Ridge","5/21/2015",09:41:00,"5/26/2015",12:15:00,"9E",4.6,9,NA
"Prairie Ridge","5/21/2015",10:48:00,"5/26/2015",11:30:00,"3E",19.7,27,NA
"Prairie Ridge","5/21/2015",09:12:00,"5/26/2015",12:33:00,"10E",0.5,2,NA
"Prairie Ridge","5/26/2015",12:15:00,"5/28/2015",09:15:00,"9E",0.7,1,NA
"Prairie Ridge","5/26/2015",12:35:00,"5/28/2015",09:08:00,"10E",0.4,3,NA
"Prairie Ridge","5/26/2015",12:10:00,"5/28/2015",09:25:00,"1E",1.2,7,NA
"Prairie Ridge","5/26/2015",11:48:00,"5/28/2015",09:40:00,"2E",3.4,1,NA
"Prairie Ridge","5/26/2015",11:30:00,"5/28/2015",09:48:00,"3E",2.2,3,NA
"Prairie Ridge","5/26/2015",11:15:00,"5/28/2015",10:06:00,"4E",4.8,14,NA
"Prairie Ridge","5/26/2015",10:57:00,"5/28/2015",10:25:00,"5E",2.5,2,NA
"Prairie Ridge","5/26/2015",10:10:00,"5/28/2015",10:35:00,"12E",1.8,4,NA
"Prairie Ridge","5/26/2015",09:36:00,"5/28/2015",11:05:00,"7E",1.5,4,NA
"Botanical Garden","5/25/2015",11:17:00,"5/29/2015",08:50:00,"1B",6.1,15,NA
"Botanical Garden","5/25/2015",10:50:00,"5/29/2015",09:00:00,"2C",2.1,4,NA
"Botanical Garden","5/25/2015",10:25:00,"5/29/2015",09:16:00,"3B",3,10,NA
"Botanical Garden","5/25/2015",08:50:00,"5/29/2015",10:50:00,"8B",0.6,1,NA
"Botanical Garden","5/25/2015",09:26:00,"5/29/2015",10:07:00,"6C",0.9,5,NA
"Botanical Garden","5/25/2015",09:05:00,"5/29/2015",10:28:00,"7B",1.1,7,NA
"Botanical Garden","5/25/2015",08:45:00,"5/29/2015",10:43:00,"8D",2.2,4,NA
"Botanical Garden","5/25/2015",10:08:00,"5/29/2015",09:35:00,"4D",0.3,1,NA
"Botanical Garden","5/25/2015",09:45:00,"5/29/2015",10:03:00,"5A",1.6,6,NA
"Botanical Garden","5/25/2015",09:40:00,"5/29/2015",09:53:00,"5D",0.5,3,NA
"Botanical Garden","5/25/2015",10:44:00,"5/29/2015",08:57:00,"2B",1.3,3,"Rain has caused a hole in the very center of the funnel"
"Botanical Garden","5/25/2015",09:30:00,"5/29/2015",10:12:00,"6D",0.1,3,NA
"Botanical Garden","5/25/2015",10:27:00,"5/29/2015",09:20:00,"3E",0.3,1,NA
"Botanical Garden","5/25/2015",09:00:00,"5/29/2015",10:25:00,"7E",0.3,6,NA
"Botanical Garden","5/25/2015",10:08:00,"5/29/2015",09:29:00,"4E",4.7,19,NA
"Botanical Garden","5/25/2015",11:10:00,"5/29/2015",08:42:00,"1C",0.6,5,NA
"Prairie Ridge","5/28/2015",11:05:00,"6/1/2015",09:20:00,"7E",16.1,15,NA
"Prairie Ridge","5/28/2015",10:38:00,"6/1/2015",09:54:00,"12E",5.8,8,NA
"Prairie Ridge","5/28/2015",10:25:00,"6/1/2015",10:01:00,"5E",1.8,3,NA
"Prairie Ridge","5/28/2015",10:05:00,"6/1/2015",10:18:00,"4E",3.2,14,NA
"Prairie Ridge","5/28/2015",09:50:00,"6/1/2015",10:25:00,"3E",5.5,7,NA
"Prairie Ridge","5/28/2015",09:40:00,"6/1/2015",10:35:00,"2E",0.6,4,NA
"Prairie Ridge","5/28/2015",09:28:00,"6/1/2015",10:45:00,"1E",9.7,10,NA
"Prairie Ridge","5/28/2015",09:15:00,"6/1/2015",10:53:00,"9E",9.2,7,"lots of bird poop"
"Prairie Ridge","5/28/2015",09:10:00,"6/1/2015",11:02:00,"10E",8.5,3,NA
"Botanical Garden","5/29/2015",09:00:00,"6/2/2015",09:42:00,"2C",1.6,7,"Filter paper wet from rain; dried under lamps for 3 hrs before weighing"
"Botanical Garden","5/29/2015",10:05:00,"6/2/2015",09:03:00,"5A",2,3,"Filter paper wet from rain; dried under lamps for 3 hrs before weighing"
"Botanical Garden","5/29/2015",09:35:00,"6/2/2015",09:16:00,"4D",1.5,1,"Filter paper wet from rain; dried under lamps for 3 hrs before weighing"
"Botanical Garden","5/29/2015",10:15:00,"6/2/2015",08:52:00,"6D",0.3,3,"Filter paper wet from rain; dried under lamps for 3 hrs before weighing"
"Botanical Garden","5/29/2015",10:36:00,"6/2/2015",08:42:00,"7B",1,5,"Filter paper wet from rain; dried under lamps for 3 hrs before weighing"
"Botanical Garden","5/29/2015",08:50:00,"6/2/2015",09:51:00,"1B",9,14,"Filter paper wet from rain; dried under lamps for 3 hrs before weighing"
"Botanical Garden","5/29/2015",09:17:00,"6/2/2015",09:26:00,"3B",0.6,2,"Filter paper wet from rain; dried under lamps for 3 hrs before weighing"
"Botanical Garden","5/29/2015",09:20:00,"6/2/2015",09:28:00,"3E",0.8,3,"Filter paper wet from rain; dried under lamps for 3 hrs before weighing"
"Botanical Garden","5/29/2015",08:58:00,"6/2/2015",09:40:00,"2B",0.1,1,"Filter paper wet from rain; dried under lamps for 3 hrs before weighing"
"Botanical Garden","5/29/2015",10:43:00,"6/2/2015",08:35:00,"8D",3.3,8,"Filter paper wet from rain; dried under lamps for 3 hrs before weighing"
"Botanical Garden","5/29/2015",10:25:00,"6/2/2015",08:40:00,"7E",0.6,2,"Filter paper wet from rain; dried under lamps for 3 hrs before weighing"
"Botanical Garden","5/29/2015",10:11:00,"6/2/2015",08:50:00,"6C",0.4,2,"Filter paper wet from rain; dried under lamps for 3 hrs before weighing"
"Botanical Garden","5/29/2015",09:30:00,"6/2/2015",09:18:00,"4E",0.3,3,"Filter paper wet from rain; dried under lamps for 3 hrs before weighing"
"Botanical Garden","5/29/2015",09:58:00,"6/2/2015",09:05:00,"5D",0.4,3,"Filter paper wet from rain; dried under lamps for 3 hrs before weighing"
"Botanical Garden","5/29/2015",10:55:00,"6/2/2015",08:26:00,"8B",1.1,1,"Filter paper wet from rain; dried under lamps for 3 hrs before weighing"
"Botanical Garden","5/29/2015",08:45:00,"6/2/2015",09:51:00,"1C",0.5,3,"Filter paper wet from rain; dried under lamps for 3 hrs before weighing"
"Prairie Ridge","6/4/2015",10:42:00,"6/8/2015",10:24:00,"3E",5.3,10,NA
"Prairie Ridge","6/4/2015",11:01:00,"6/8/2015",10:01:00,"12E",3.9,5,NA
"Prairie Ridge","6/4/2015",10:20:00,"6/8/2015",10:40:00,"1E",4.2,15,NA
"Prairie Ridge","6/4/2015",10:31:00,"6/8/2015",10:33:00,"2E",1.4,2,"(lost one before adding to overall frass for the day)"
"Prairie Ridge","6/4/2015",11:25:00,"6/8/2015",09:20:00,"7E",13.9,41,NA
"Prairie Ridge","6/4/2015",10:50:00,"6/8/2015",10:17:00,"5E",3.9,11,NA
"Prairie Ridge","6/4/2015",10:46:00,"6/8/2015",10:20:00,"4E",0.2,6,NA
"Prairie Ridge","6/4/2015",09:55:00,"6/8/2015",11:02:00,"10E",11,10,"lots of bird poop"
"Prairie Ridge","6/4/2015",10:12:00,"6/8/2015",10:50:00,"9E",6,10,NA
"Botanical Garden","6/5/2015",09:37:00,"6/9/2015",09:45:00,"5A",0.1,2,"Filter paper wet from rain; dried under lamps for 3 hrs before weighing"
"Botanical Garden","6/5/2015",10:24:00,"6/9/2015",09:00:00,"8D",0.8,1,"Filter paper wet from rain; dried under lamps for 3 hrs before weighing"
"Botanical Garden","6/5/2015",09:01:00,"6/9/2015",10:30:00,"3B",0,0,"Filter paper wet from rain; dried under lamps for 3 hrs before weighing"
"Botanical Garden","6/5/2015",10:07:00,"6/9/2015",09:17:00,"7B",1.3,5,"Filter paper wet from rain; dried under lamps for 3 hrs before weighing"
"Botanical Garden","6/5/2015",09:55:00,"6/9/2015",09:33:00,"6D",0,0,"Filter paper wet from rain; dried under lamps for 3 hrs before weighing"
"Botanical Garden","6/5/2015",NA,"6/9/2015",NA,"2B",NA,NA,"Wet and unusable"
"Botanical Garden","6/5/2015",NA,"6/9/2015",NA,"3E",NA,NA,"Wet and unusable"
"Botanical Garden","6/5/2015",NA,"6/9/2015",NA,"7E",NA,NA,"Wet and unusable"
"Botanical Garden","6/5/2015",NA,"6/9/2015",NA,"1B",NA,NA,"Wet and unusable"
"Botanical Garden","6/5/2015",NA,"6/9/2015",NA,"1C",NA,NA,"Wet and unusable"
"Botanical Garden","6/5/2015",NA,"6/9/2015",NA,"4D",NA,NA,"Wet and unusable"
"Botanical Garden","6/5/2015",NA,"6/9/2015",NA,"4E",NA,NA,"Wet and unusable"
"Botanical Garden","6/5/2015",NA,"6/9/2015",NA,"5D",NA,NA,"Wet and unusable"
"Botanical Garden","6/5/2015",NA,"6/9/2015",NA,"6C",NA,NA,"Wet and unusable"
"Botanical Garden","6/5/2015",NA,"6/9/2015",NA,"8B",NA,NA,"Wet and unusable"
"Botanical Garden","6/5/2015",NA,"6/9/2015",NA,"2C",NA,NA,"Wet and unusable"
"Prairie Ridge","6/8/2015",10:25:00,"6/11/2015",09:45:00,"3E",1.4,5,NA
"Prairie Ridge","6/8/2015",10:22:00,"6/11/2015",09:57:00,"4E",0.9,2,NA
"Prairie Ridge","6/8/2015",10:05:00,"6/11/2015",10:23:00,"12E",16.7,9,NA
"Prairie Ridge","6/8/2015",10:18:00,"6/11/2015",10:10:00,"5E",2.1,6,NA
"Prairie Ridge","6/8/2015",10:55:00,"6/11/2015",09:07:00,"9E",8,7,NA
"Prairie Ridge","6/8/2015",10:36:00,"6/11/2015",09:35:00,"2E",3.6,4,NA
"Prairie Ridge","6/8/2015",10:47:00,"6/11/2015",09:20:00,"1E",1.1,6,NA
"Prairie Ridge","6/8/2015",09:28:00,"6/11/2015",10:56:00,"7E",92.9,230,NA
"Botanical Garden","6/9/2015",10:45:00,"6/12/2015",08:57:00,"2C",1.7,8,NA
"Botanical Garden","6/9/2015",10:29:00,"6/12/2015",09:10:00,"3E",0.2,3,NA
"Botanical Garden","6/9/2015",10:11:00,"6/12/2015",09:23:00,"4E",0.7,3,NA
"Botanical Garden","6/9/2015",10:41:00,"6/12/2015",08:52:00,"2B",0.7,5,NA
"Botanical Garden","6/9/2015",10:25:00,"6/12/2015",09:08:00,"3A",5.1,15,"one large frass that looks like a ball of yarn"
"Botanical Garden","6/9/2015",09:50:00,"6/12/2015",09:39:00,"5A",1.9,12,NA
"Botanical Garden","6/9/2015",10:08:00,"6/12/2015",09:27:00,"4D",1.6,10,NA
"Botanical Garden","6/9/2015",11:06:00,"6/12/2015",08:41:00,"1B",1.1,9,NA
"Botanical Garden","6/9/2015",11:02:00,"6/12/2015",08:38:00,"1C",3.3,14,NA
"Botanical Garden","6/9/2015",09:30:00,"6/12/2015",09:54:00,"6C",1.1,11,NA
"Botanical Garden","6/9/2015",09:10:00,"6/12/2015",10:10:00,"7E",0.2,1,NA
"Botanical Garden","6/9/2015",09:35:00,"6/12/2015",09:57:00,"6D",5.2,9,NA
"Botanical Garden","6/9/2015",09:55:00,"6/12/2015",09:43:00,"5D",4.9,8,NA
"Botanical Garden","6/9/2015",08:55:00,"6/12/2015",10:26:00,"8B",0.5,4,NA
"Botanical Garden","6/9/2015",09:20:00,"6/12/2015",10:13:00,"7B",3.7,12,NA
"Botanical Garden","6/9/2015",09:03:00,"6/12/2015",10:23:00,"8D",9.9,7,NA
"Prairie Ridge","6/11/2015",10:25:00,"6/15/2015",09:34:00,"12E",20.9,38,NA
"Prairie Ridge","6/11/2015",10:09:00,"6/15/2015",09:45:00,"5E",11.6,14,NA
"Prairie Ridge","6/11/2015",09:59:00,"6/15/2015",09:54:00,"4E",3.2,14,NA
"Prairie Ridge","6/11/2015",09:48:00,"6/15/2015",10:12:00,"3E",9.2,16,NA
"Prairie Ridge","6/11/2015",09:38:00,"6/15/2015",10:26:00,"2E",5.6,12,NA
"Prairie Ridge","6/11/2015",09:25:00,"6/15/2015",10:30:00,"1E",6.6,15,NA
"Prairie Ridge","6/11/2015",08:54:00,"6/15/2015",10:43:00,"10E",7.2,13,NA
"Prairie Ridge","6/11/2015",09:10:00,"6/15/2015",10:38:00,"9E",12.1,23,NA
"Prairie Ridge","6/11/2015",10:55:00,"6/15/2015",08:58:00,"7E",132.7,285,NA
"Botanical Garden","6/12/2015",09:12:00,"6/16/2015",09:42:00,"3E",4.9,9,NA
"Botanical Garden","6/12/2015",08:40:00,"6/16/2015",10:16:00,"1C",2.8,21,NA
"Botanical Garden","6/12/2015",08:43:00,"6/16/2015",10:13:00,"1B",8.4,21,NA
"Botanical Garden","6/12/2015",08:59:00,"6/16/2015",09:58:00,"2C",15.2,33,NA
"Botanical Garden","6/12/2015",09:24:00,"6/16/2015",09:30:00,"4E",0.8,6,NA
"Botanical Garden","6/12/2015",09:29:00,"6/16/2015",09:27:00,"4D",3.7,9,NA
"Botanical Garden","6/12/2015",09:45:00,"6/16/2015",09:15:00,"5D",4.2,11,NA
"Botanical Garden","6/12/2015",09:42:00,"6/16/2015",09:12:00,"5A",11.6,16,NA
"Botanical Garden","6/12/2015",09:59:00,"6/16/2015",09:03:00,"6D",7.9,23,NA
"Botanical Garden","6/12/2015",09:56:00,"6/16/2015",09:00:00,"6C",1.2,7,"funnel slightly tilted"
"Botanical Garden","6/12/2015",10:15:00,"6/16/2015",08:45:00,"7B",4.9,21,NA
"Botanical Garden","6/12/2015",10:12:00,"6/16/2015",08:43:00,"7E",1.3,7,NA
"Botanical Garden","6/12/2015",10:25:00,"6/16/2015",08:32:00,"8D",1.5,5,NA
"Botanical Garden","6/12/2015",10:27:00,"6/16/2015",08:28:00,"8B",2.3,10,NA
"Botanical Garden","6/12/2015",08:55:00,"6/16/2015",09:56:00,"2B",7,27,NA
"Botanical Garden","6/12/2015",09:10:00,"6/16/2015",09:45:00,"3A",4.5,17,NA
"Prairie Ridge","6/15/2015",10:15:00,"6/18/2015",09:40:00,"3E",7.4,19,"Filter paper wet from rain; dried under lamps for 1 hr and waited overnight; folded in half"
"Prairie Ridge","6/15/2015",09:58:00,"6/18/2015",10:00:00,"4E",1.7,10,"Filter paper wet from rain; dried under lamps for 1 hr and waited overnight"
"Prairie Ridge","6/15/2015",09:47:00,"6/18/2015",10:14:00,"5E",7.8,7,"Filter paper wet from rain; dried under lamps for 1 hr and waited overnight; folded over a bit"
"Prairie Ridge","6/15/2015",09:36:00,"6/18/2015",10:20:00,"12E",10.7,30,"Filter paper wet from rain; dried under lamps for 1 hr and waited overnight; ripped and folded but bottom intact"
"Prairie Ridge","6/15/2015",09:00:00,"6/18/2015",10:49:00,"7E",63.8,195,"Filter paper wet from rain; dried under lamps for 1 hr and waited overnight"
"Prairie Ridge","6/15/2015",NA,"6/18/2015",NA,"2E",NA,NA,"Wet and unusable"
"Prairie Ridge","6/15/2015",NA,"6/18/2015",NA,"1E",NA,NA,"Wet and unusable"
"Prairie Ridge","6/15/2015",NA,"6/18/2015",NA,"10E",NA,NA,"Wet and unusable"
"Prairie Ridge","6/15/2015",NA,"6/18/2015",NA,"9E",NA,NA,"Wet and unusable"
"Botanical Garden","6/16/2015",10:15:00,"6/19/2015",08:55:00,"1B",1.3,3,"Filter paper wet from rain; dried under lamps for 4 hours"
"Botanical Garden","6/16/2015",08:33:00,"6/19/2015",10:35:00,"8D",NA,NA,"Filter paper wet from rain; dried under lamps for 4 hours"
"Botanical Garden","6/16/2015",09:58:00,"6/19/2015",09:03:00,"2B",NA,NA,"Filter paper wet from rain; dried under lamps for 4 hours"
"Botanical Garden","6/16/2015",NA,"6/19/2015",NA,"2C",NA,NA,"Wet and unusable"
"Botanical Garden","6/16/2015",NA,"6/19/2015",NA,"5A",NA,NA,"Wet and unusable"
"Botanical Garden","6/16/2015",NA,"6/19/2015",NA,"4D",NA,NA,"Wet and unusable"
"Botanical Garden","6/16/2015",NA,"6/19/2015",NA,"6D",NA,NA,"Wet and unusable"
"Botanical Garden","6/16/2015",NA,"6/19/2015",NA,"7B",NA,NA,"Wet and unusable"
"Botanical Garden","6/16/2015",NA,"6/19/2015",NA,"3B",NA,NA,"Wet and unusable"
"Botanical Garden","6/16/2015",NA,"6/19/2015",NA,"3E",NA,NA,"Wet and unusable"
"Botanical Garden","6/16/2015",NA,"6/19/2015",NA,"7E",NA,NA,"Wet and unusable"
"Botanical Garden","6/16/2015",NA,"6/19/2015",NA,"6C",NA,NA,"Wet and unusable"
"Botanical Garden","6/16/2015",NA,"6/19/2015",NA,"4E",NA,NA,"Wet and unusable"
"Botanical Garden","6/16/2015",NA,"6/19/2015",NA,"5D",NA,NA,"Wet and unusable"
"Botanical Garden","6/16/2015",NA,"6/19/2015",NA,"8B",NA,NA,"Wet and unusable"
"Botanical Garden","6/16/2015",NA,"6/19/2015",NA,"1C",NA,NA,"Wet and unusable"
"Prairie Ridge","6/18/2015",10:05:00,"6/22/2015",10:05:00,"4E",6.6,29,NA
"Prairie Ridge","6/18/2015",09:48:00,"6/22/2015",10:15:00,"3E",14.7,39,NA
"Prairie Ridge","6/18/2015",09:07:00,"6/22/2015",10:49:00,"9E",6.9,9,NA
"Prairie Ridge","6/18/2015",09:22:00,"6/22/2015",10:40:00,"5E",4.3,5,"Very storm-battered"
"Prairie Ridge","6/18/2015",08:56:00,"6/22/2015",11:01:00,"10E",2.1,7,NA
"Prairie Ridge","6/18/2015",NA,"6/22/2015",NA,"12E",NA,NA,NA
"Prairie Ridge","6/18/2015",NA,"6/22/2015",NA,"7E",NA,NA,NA
"Prairie Ridge","6/18/2015",NA,"6/22/2015",NA,"2E",NA,NA,NA
"Prairie Ridge","6/18/2015",NA,"6/22/2015",NA,"1E",NA,NA,NA
"Botanical Garden","6/19/2015",08:56:00,"6/23/2015",10:15:00,"1B",11.3,35,NA
"Botanical Garden","6/19/2015",10:37:00,"6/23/2015",08:44:00,"8D",2.3,13,NA
"Botanical Garden","6/19/2015",09:05:00,"6/23/2015",09:58:00,"2B",11.4,18,"One long frass excluded from weight and count"
"Botanical Garden","6/19/2015",09:10:00,"6/23/2015",10:00:00,"2C",12.7,75,NA
"Botanical Garden","6/19/2015",09:53:00,"6/23/2015",09:13:00,"5A",8,37,NA
"Botanical Garden","6/19/2015",09:40:00,"6/23/2015",09:31:00,"4D",4.6,11,NA
"Botanical Garden","6/19/2015",10:06:00,"6/23/2015",08:57:00,"6D",22.6,45,NA
"Botanical Garden","6/19/2015",10:23:00,"6/23/2015",08:49:00,"7B",5.5,34,NA
"Botanical Garden","6/19/2015",09:15:00,"6/23/2015",09:42:00,"3B",2.1,29,NA
"Botanical Garden","6/19/2015",09:24:00,"6/23/2015",09:45:00,"3E",3,28,NA
"Botanical Garden","6/19/2015",10:20:00,"6/23/2015",08:51:00,"7E",1.5,23,NA
"Botanical Garden","6/19/2015",10:10:00,"6/23/2015",09:03:00,"6C",3.5,17,"Three long frass excluded from weight and count"
"Botanical Garden","6/19/2015",09:37:00,"6/23/2015",09:33:00,"4E",16.1,20,NA
"Botanical Garden","6/19/2015",09:55:00,"6/23/2015",09:15:00,"5D",20.7,15,NA
"Botanical Garden","6/19/2015",10:33:00,"6/23/2015",08:45:00,"8B",8.2,8,NA
"Botanical Garden","6/19/2015",09:00:00,"6/23/2015",10:12:00,"1C",8.1,22,NA
"Prairie Ridge","6/22/2015",10:07:00,"6/25/2015",09:42:00,"4E",6.1,30,NA
"Prairie Ridge","6/22/2015",10:17:00,"6/25/2015",09:34:00,"3E",20.2,39,"Had two large cylindrical frass"
"Prairie Ridge","6/22/2015",10:44:00,"6/25/2015",09:00:00,"9E",6.4,26,NA
"Prairie Ridge","6/22/2015",09:57:00,"6/25/2015",09:51:00,"5E",35.6,36,"Had three large cylindrical frasses"
"Prairie Ridge","6/22/2015",11:03:00,"6/25/2015",08:53:00,"10E",15,49,"Some bits of frass exploded"
"Prairie Ridge","6/22/2015",09:48:00,"6/25/2015",09:53:00,"12E",12.5,28,NA
"Prairie Ridge","6/22/2015",09:18:00,"6/25/2015",10:18:00,"7E",23.4,69,NA
"Prairie Ridge","6/22/2015",10:29:00,"6/25/2015",09:23:00,"2E",3.5,13,NA
"Prairie Ridge","6/22/2015",10:42:00,"6/25/2015",09:15:00,"1E",2.6,15,NA
"Prairie Ridge","6/29/2015",10:06:00,"7/2/2015",10:13:00,"4E",19,50,NA
"Prairie Ridge","6/29/2015",10:27:00,"7/2/2015",09:51:00,"2E",4.5,8,"tiny hole in bottom"
"Prairie Ridge","6/29/2015",09:50:00,"7/2/2015",10:24:00,"5E",50.1,86,"a lot of dust also in center likely from frass"
"Prairie Ridge","6/29/2015",10:16:00,"7/2/2015",10:03:00,"3E",20.3,16,NA
"Prairie Ridge","6/29/2015",10:38:00,"7/2/2015",09:41:00,"1E",14.7,11,NA
"Prairie Ridge","6/29/2015",11:00:00,"7/2/2015",09:11:00,"10E",4.5,13,NA
"Prairie Ridge","6/29/2015",09:15:00,"7/2/2015",10:55:00,"7E",8.1,15,NA
"Prairie Ridge","6/29/2015",09:45:00,"7/2/2015",10:34:00,"12E",7.3,14,NA
"Prairie Ridge","6/29/2015",10:50:00,"7/2/2015",09:28:00,"9E",19.9,21,NA
"Botanical Garden","6/30/2015",08:47:00,"7/3/2015",09:46:00,"7B",5.3,6,"dried over weekend"
"Botanical Garden","6/30/2015",08:52:00,"7/3/2015",09:36:00,"6D",6.9,18,NA
"Botanical Garden","6/30/2015",09:26:00,"7/3/2015",09:11:00,"4D",7.8,9,"dried over weekend"
"Botanical Garden","6/30/2015",08:31:00,"7/3/2015",09:58:00,"8B",3.6,8,NA
"Botanical Garden","6/30/2015",10:03:00,"7/3/2015",08:31:00,"1B",17.1,7,"dried over weekend, 2.5 long frass, slightly folded"
"Botanical Garden","6/30/2015",08:45:00,"7/3/2015",09:44:00,"7E",6.8,5,"2 long frass, fluffy material not counted"
"Botanical Garden","6/30/2015",09:50:00,"7/3/2015",08:43:00,"2B",1,13,"dried over weekend, cluster of 9 tiny ones included in count"
"Botanical Garden","6/30/2015",09:53:00,"7/3/2015",08:46:00,"2C",13.7,30,"likely exploded frass in bottom not counted"
"Botanical Garden","6/30/2015",09:05:00,"7/3/2015",09:21:00,"5A",0.6,4,NA
"Botanical Garden","6/30/2015",09:40:00,"7/3/2015",08:59:00,"3E",3.8,25,"dried over weekend, decayed plant material that was likely part of frass not counted"
"Botanical Garden","6/30/2015",08:35:00,"7/3/2015",10:00:00,"8D",9.4,16,NA
"Botanical Garden","6/30/2015",09:07:00,"7/3/2015",09:22:00,"5D",13.8,27,"dried over weekend, decayed plant material that was likely part of frass not counted"
"Botanical Garden","6/30/2015",09:25:00,"7/3/2015",09:08:00,"4E",7.2,17,"one large questionable frass"
"Botanical Garden","6/30/2015",09:38:00,"7/3/2015",08:56:00,"3B",11.5,40,"fluffly material, number is approximate"
"Botanical Garden","6/30/2015",08:50:00,"7/3/2015",09:34:00,"6C",11.2,4,"2 long frass"
"Botanical Garden","6/30/2015",10:01:00,"7/3/2015",08:29:00,"1C",7,14,NA
"Prairie Ridge","7/2/2015",10:15:00,"7/6/2015",10:00:00,"4E",7.7,16,"Fluffy material inside"
"Prairie Ridge","7/2/2015",10:03:00,"7/6/2015",10:12:00,"3E",6.3,27,"Found folded over"
"Prairie Ridge","7/2/2015",09:30:00,"7/6/2015",10:47:00,"9E",6.4,20,NA
