date,site,notes,reliability,,,,,
6/27/2016,8892356,"frass traps collected in afternoon a day early because of big impending storm; no surveys on 6/28, no new traps deployed",3,,,,,
7/1/2016,8892356,,,,,,,
7/5/2016,117,,,,,,,
7/6/2016,8892356,"frass traps wet due to rain, many unusable",1,,,,,
7/7/2016,117,,,,,,,
7/8/2016,8892356,,3,,,,,
7/11/2016,117,,,,,,,
7/12/2016,8892356,"no surveys done, frass traps collected, slightly damp; I think no new frass traps deployed",2,,,,,
7/14/2016,117,,,,,,,
7/15/2016,8892356,"no frass to collect, new frass traps deployed",,,,,,
7/18/2016,117,,,,,,,
7/19/2016,8892356,"rained a lot over weekend, some frass traps torn up, lots of fluff",1,,,,,
7/21/2016,117,,,,,,,
7/22/2016,8892356,,3,,,,,
4/18/2017,8892356,"lab group surveys, but app not working for many and data lost",2,,,,,
5/4/2017,8892356,AH conducted all surveys,3,,,,,
5/15/2017,8892356,"frass traps deployed, 3 locations moved slightly",,,,,,
5/17/2017,117,"warm; training Patrick Winner, Christina Lim; Tracie Hayes & Tara McKinnon helping",3,,,,,
5/18/2017,8892356,,3,,,,,
5/22/2017,8892356,"big rainstorm last night until 0730 this am, frass very wet; visual surveys only today; no new frass traps deployed",1,,,,,
5/24/2017,117,"rained last night, wet leaves",3,,,,,
5/25/2017,8892356,"rain last night, wet leaves",2,,,,,
5/29/2017,8892356,filter paper out of 3 traps,3,,,,,
5/30/2017,117,"rained last night, wet leaves",3,,,,,
6/1/2017,8892356,"frass traps slightly damp, put under lamps for 1 hr",2,,,,,
6/5/2017,8892356,"rained last night and this morning so we just collected frass traps, no surveys, no new traps deployed",2,,,,,
6/6/2017,117,,3,,,,,
6/8/2017,8892356,"Ford Ballantyne helps put out frass traps, one trap missing in circle 8",3,,,,,
6/12/2017,8892356,starting today no more leaf photos for the year,3,,,,,
6/13/2017,117,"Sara Snell helped, but we lost all of her surveys due to app problems; she saw 1 caterpillar on visual in circle 8, 1 caterpillar on beat sheet in circle 12",2,,,,,
6/15/2017,8892356,,3,,,,,
6/19/2107,8892356,"rained last night, leaves and frass traps wet",2,,,,,
6/20/2017,117,"big rain last night, but lots of leps",3,,,,,
