"Site","Date.Set","Time.Set","Date.Collected","Time.Collected","Survey","Frass.mass..mg.","Frass.number","Notes"
"Botanical Garden","5/25/2015","10:08","5/29/2015","9:29","4E",4.7,19,""
"Botanical Garden","5/25/2015","11:10","5/29/2015","8:42","1C",0.6,5,""
"Prairie Ridge","5/28/2015","11:05","6/1/2015","9:20","7E",16.1,15,""
"Prairie Ridge","5/28/2015","10:38","6/1/2015","9:54","12E",5.8,8,""
"Prairie Ridge","5/28/2015","10:25","6/1/2015","10:01","5E",1.8,3,""
"Prairie Ridge","5/28/2015","10:05","6/1/2015","10:18","4E",3.2,14,""
"Prairie Ridge","5/28/2015","9:50","6/1/2015","10:25","3E",5.5,7,""
"Prairie Ridge","5/28/2015","9:40","6/1/2015","10:35","2E",0.6,4,""
"Prairie Ridge","5/28/2015","9:28","6/1/2015","10:45","1E",9.7,10,""
"Prairie Ridge","5/28/2015","9:15","6/1/2015","10:53","9E",9.2,7,"lots of bird poop"
"Prairie Ridge","5/28/2015","9:10","6/1/2015","11:02","10E",8.5,3,""
"Botanical Garden","5/29/2015","9:00","6/2/2015","9:42","2C",1.6,7,"Filter paper wet from rain; dried under lamps for 3 hrs before weighing"
"Botanical Garden","5/29/2015","10:05","6/2/2015","9:03","5A",2,3,"Filter paper wet from rain; dried under lamps for 3 hrs before weighing"
"Botanical Garden","5/29/2015","9:35","6/2/2015","9:16","4D",1.5,1,"Filter paper wet from rain; dried under lamps for 3 hrs before weighing"
"Botanical Garden","5/29/2015","10:15","6/2/2015","8:52","6D",0.3,3,"Filter paper wet from rain; dried under lamps for 3 hrs before weighing"
"Botanical Garden","5/29/2015","10:36","6/2/2015","8:42","7B",1,5,"Filter paper wet from rain; dried under lamps for 3 hrs before weighing"
"Botanical Garden","5/29/2015","8:50","6/2/2015","9:51","1B",9,14,"Filter paper wet from rain; dried under lamps for 3 hrs before weighing"
"Botanical Garden","5/29/2015","9:17","6/2/2015","9:26","3B",0.6,2,"Filter paper wet from rain; dried under lamps for 3 hrs before weighing"
"Botanical Garden","5/29/2015","9:20","6/2/2015","9:28","3E",0.8,3,"Filter paper wet from rain; dried under lamps for 3 hrs before weighing"
"Botanical Garden","5/29/2015","8:58","6/2/2015","9:40","2B",0.1,1,"Filter paper wet from rain; dried under lamps for 3 hrs before weighing"
"Botanical Garden","5/29/2015","10:43","6/2/2015","8:35","8D",3.3,8,"Filter paper wet from rain; dried under lamps for 3 hrs before weighing"
"Botanical Garden","5/29/2015","10:25","6/2/2015","8:40","7E",0.6,2,"Filter paper wet from rain; dried under lamps for 3 hrs before weighing"
"Botanical Garden","5/29/2015","10:11","6/2/2015","8:50","6C",0.4,2,"Filter paper wet from rain; dried under lamps for 3 hrs before weighing"
"Botanical Garden","5/29/2015","9:30","6/2/2015","9:18","4E",0.3,3,"Filter paper wet from rain; dried under lamps for 3 hrs before weighing"
"Botanical Garden","5/29/2015","9:58","6/2/2015","9:05","5D",0.4,3,"Filter paper wet from rain; dried under lamps for 3 hrs before weighing"
"Botanical Garden","5/29/2015","10:55","6/2/2015","8:26","8B",1.1,1,"Filter paper wet from rain; dried under lamps for 3 hrs before weighing"
"Botanical Garden","5/29/2015","8:45","6/2/2015","9:51","1C",0.5,3,"Filter paper wet from rain; dried under lamps for 3 hrs before weighing"
"Prairie Ridge","6/4/2015","10:42","6/8/2015","10:24","3E",5.3,10,""
"Prairie Ridge","6/4/2015","11:01","6/8/2015","10:01","12E",3.9,5,""
"Prairie Ridge","6/4/2015","10:20","6/8/2015","10:40","1E",4.2,15,""
"Prairie Ridge","6/4/2015","10:31","6/8/2015","10:33","2E",1.4,2,"(lost one before adding to overall frass for the day)"
"Prairie Ridge","6/4/2015","11:25","6/8/2015","9:20","7E",13.9,41,""
"Prairie Ridge","6/4/2015","10:50","6/8/2015","10:17","5E",3.9,11,""
"Prairie Ridge","6/4/2015","10:46","6/8/2015","10:20","4E",0.2,6,""
"Prairie Ridge","6/4/2015","9:55","6/8/2015","11:02","10E",11,10,"lots of bird poop"
"Prairie Ridge","6/4/2015","10:12","6/8/2015","10:50","9E",6,10,""
"Botanical Garden","6/5/2015","9:37","6/9/2015","9:45","5A",0.1,2,"Filter paper wet from rain; dried under lamps for 3 hrs before weighing"
"Botanical Garden","6/5/2015","10:24","6/9/2015","9:00","8D",0.8,1,"Filter paper wet from rain; dried under lamps for 3 hrs before weighing"
"Botanical Garden","6/5/2015","9:01","6/9/2015","10:30","3B",0,0,"Filter paper wet from rain; dried under lamps for 3 hrs before weighing"
"Botanical Garden","6/5/2015","10:07","6/9/2015","9:17","7B",1.3,5,"Filter paper wet from rain; dried under lamps for 3 hrs before weighing"
"Botanical Garden","6/5/2015","9:55","6/9/2015","9:33","6D",0,0,"Filter paper wet from rain; dried under lamps for 3 hrs before weighing"
"Botanical Garden","6/5/2015",NA,"6/9/2015",NA,"2B",NA,NA,"Wet and unusable"
"Botanical Garden","6/5/2015",NA,"6/9/2015",NA,"3E",NA,NA,"Wet and unusable"
"Botanical Garden","6/5/2015",NA,"6/9/2015",NA,"7E",NA,NA,"Wet and unusable"
"Botanical Garden","6/5/2015",NA,"6/9/2015",NA,"1B",NA,NA,"Wet and unusable"
"Botanical Garden","6/5/2015",NA,"6/9/2015",NA,"1C",NA,NA,"Wet and unusable"
"Botanical Garden","6/5/2015",NA,"6/9/2015",NA,"4D",NA,NA,"Wet and unusable"
"Botanical Garden","6/5/2015",NA,"6/9/2015",NA,"4E",NA,NA,"Wet and unusable"
"Botanical Garden","6/5/2015",NA,"6/9/2015",NA,"5D",NA,NA,"Wet and unusable"
"Botanical Garden","6/5/2015",NA,"6/9/2015",NA,"6C",NA,NA,"Wet and unusable"
"Botanical Garden","6/5/2015",NA,"6/9/2015",NA,"8B",NA,NA,"Wet and unusable"
"Botanical Garden","6/5/2015",NA,"6/9/2015",NA,"2C",NA,NA,"Wet and unusable"
"Prairie Ridge","6/8/2015","10:25","6/11/2015","9:45","3E",1.4,5,""
"Prairie Ridge","6/8/2015","10:22","6/11/2015","9:57","4E",0.9,2,""
"Prairie Ridge","6/8/2015","10:05","6/11/2015","10:23","12E",16.7,9,""
"Prairie Ridge","6/8/2015","10:18","6/11/2015","10:10","5E",2.1,6,""
"Prairie Ridge","6/8/2015","10:55","6/11/2015","9:07","9E",8,7,""
"Prairie Ridge","6/8/2015","10:36","6/11/2015","9:35","2E",3.6,4,""
"Prairie Ridge","6/8/2015","10:47","6/11/2015","9:20","1E",1.1,6,""
"Prairie Ridge","6/8/2015","9:28","6/11/2015","10:56","7E",92.9,230,""
"Botanical Garden","6/9/2015","10:45","6/12/2015","8:57","2C",1.7,8,""
"Botanical Garden","6/9/2015","10:29","6/12/2015","9:10","3E",0.2,3,""
"Botanical Garden","6/9/2015","10:11","6/12/2015","9:23","4E",0.7,3,""
"Botanical Garden","6/9/2015","10:41","6/12/2015","8:52","2B",0.7,5,""
"Botanical Garden","6/9/2015","10:25","6/12/2015","9:08","3A",5.1,15,"one large frass that looks like a ball of yarn"
"Botanical Garden","6/9/2015","9:50","6/12/2015","9:39","5A",1.9,12,""
"Botanical Garden","6/9/2015","10:08","6/12/2015","9:27","4D",1.6,10,""
"Botanical Garden","6/9/2015","11:06","6/12/2015","8:41","1B",1.1,9,""
"Botanical Garden","6/9/2015","11:02","6/12/2015","8:38","1C",3.3,14,""
"Botanical Garden","6/9/2015","9:30","6/12/2015","9:54","6C",1.1,11,""
"Botanical Garden","6/9/2015","9:10","6/12/2015","10:10","7E",0.2,1,""
"Botanical Garden","6/9/2015","9:35","6/12/2015","9:57","6D",5.2,9,""
"Botanical Garden","6/9/2015","9:55","6/12/2015","9:43","5D",4.9,8,""
"Botanical Garden","6/9/2015","8:55","6/12/2015","10:26","8B",0.5,4,""
"Botanical Garden","6/9/2015","9:20","6/12/2015","10:13","7B",3.7,12,""
"Botanical Garden","6/9/2015","9:03","6/12/2015","10:23","8D",9.9,7,""
"Prairie Ridge","6/11/2015","10:25","6/15/2015","9:34","12E",20.9,38,""
"Prairie Ridge","6/11/2015","10:09","6/15/2015","9:45","5E",11.6,14,""
"Prairie Ridge","6/11/2015","9:59","6/15/2015","9:54","4E",3.2,14,""
"Prairie Ridge","6/11/2015","9:48","6/15/2015","10:12","3E",9.2,16,""
"Prairie Ridge","6/11/2015","9:38","6/15/2015","10:26","2E",5.6,12,""
"Prairie Ridge","6/11/2015","9:25","6/15/2015","10:30","1E",6.6,15,""
"Prairie Ridge","6/11/2015","8:54","6/15/2015","10:43","10E",7.2,13,""
"Prairie Ridge","6/11/2015","9:10","6/15/2015","10:38","9E",12.1,23,""
"Prairie Ridge","6/11/2015","10:55","6/15/2015","8:58","7E",132.7,285,""
"Botanical Garden","6/12/2015","9:12","6/16/2015","9:42","3E",4.9,9,""
"Botanical Garden","6/12/2015","8:40","6/16/2015","10:16","1C",2.8,21,""
"Botanical Garden","6/12/2015","8:43","6/16/2015","10:13","1B",8.4,21,""
"Botanical Garden","6/12/2015","8:59","6/16/2015","9:58","2C",15.2,33,""
"Botanical Garden","6/12/2015","9:24","6/16/2015","9:30","4E",0.8,6,""
"Botanical Garden","6/12/2015","9:29","6/16/2015","9:27","4D",3.7,9,""
"Botanical Garden","6/12/2015","9:45","6/16/2015","9:15","5D",4.2,11,""
"Botanical Garden","6/12/2015","9:42","6/16/2015","9:12","5A",11.6,16,""
"Botanical Garden","6/12/2015","9:59","6/16/2015","9:03","6D",7.9,23,""
"Botanical Garden","6/12/2015","9:56","6/16/2015","9:00","6C",1.2,7,"funnel slightly tilted"
"Botanical Garden","6/12/2015","10:15","6/16/2015","8:45","7B",4.9,21,""
"Botanical Garden","6/12/2015","10:12","6/16/2015","8:43","7E",1.3,7,""
"Botanical Garden","6/12/2015","10:25","6/16/2015","8:32","8D",1.5,5,""
"Botanical Garden","6/12/2015","10:27","6/16/2015","8:28","8B",2.3,10,""
"Botanical Garden","6/12/2015","8:55","6/16/2015","9:56","2B",7,27,""
"Botanical Garden","6/12/2015","9:10","6/16/2015","9:45","3A",4.5,17,""
"Prairie Ridge","6/15/2015","10:15","6/18/2015","9:40","3E",7.4,19,"Filter paper wet from rain; dried under lamps for 1 hr and waited overnight; folded in half"
"Prairie Ridge","6/15/2015","9:58","6/18/2015","10:00","4E",1.7,10,"Filter paper wet from rain; dried under lamps for 1 hr and waited overnight"
"Prairie Ridge","6/15/2015","9:47","6/18/2015","10:14","5E",7.8,7,"Filter paper wet from rain; dried under lamps for 1 hr and waited overnight; folded over a bit"
"Prairie Ridge","6/15/2015","9:36","6/18/2015","10:20","12E",10.7,30,"Filter paper wet from rain; dried under lamps for 1 hr and waited overnight; ripped and folded but bottom intact"
"Prairie Ridge","6/15/2015","9:00","6/18/2015","10:49","7E",63.8,195,"Filter paper wet from rain; dried under lamps for 1 hr and waited overnight"
"Prairie Ridge","6/15/2015",NA,"6/18/2015",NA,"2E",NA,NA,"Wet and unusable"
"Prairie Ridge","6/15/2015",NA,"6/18/2015",NA,"1E",NA,NA,"Wet and unusable"
"Prairie Ridge","6/15/2015",NA,"6/18/2015",NA,"10E",NA,NA,"Wet and unusable"
"Prairie Ridge","6/15/2015",NA,"6/18/2015",NA,"9E",NA,NA,"Wet and unusable"
"Botanical Garden","6/16/2015","10:15","6/19/2015","8:55","1B",1.3,3,"Filter paper wet from rain; dried under lamps for 4 hours"
"Botanical Garden","6/16/2015","8:33","6/19/2015","10:35","8D",NA,NA,"Filter paper wet from rain; dried under lamps for 4 hours"
"Botanical Garden","6/16/2015","9:58","6/19/2015","9:03","2B",NA,NA,"Filter paper wet from rain; dried under lamps for 4 hours"
"Botanical Garden","6/16/2015",NA,"6/19/2015",NA,"2C",NA,NA,"Wet and unusable"
"Botanical Garden","6/16/2015",NA,"6/19/2015",NA,"5A",NA,NA,"Wet and unusable"
"Botanical Garden","6/16/2015",NA,"6/19/2015",NA,"4D",NA,NA,"Wet and unusable"
"Botanical Garden","6/16/2015",NA,"6/19/2015",NA,"6D",NA,NA,"Wet and unusable"
"Botanical Garden","6/16/2015",NA,"6/19/2015",NA,"7B",NA,NA,"Wet and unusable"
"Botanical Garden","6/16/2015",NA,"6/19/2015",NA,"3B",NA,NA,"Wet and unusable"
"Botanical Garden","6/16/2015",NA,"6/19/2015",NA,"3E",NA,NA,"Wet and unusable"
"Botanical Garden","6/16/2015",NA,"6/19/2015",NA,"7E",NA,NA,"Wet and unusable"
"Botanical Garden","6/16/2015",NA,"6/19/2015",NA,"6C",NA,NA,"Wet and unusable"
"Botanical Garden","6/16/2015",NA,"6/19/2015",NA,"4E",NA,NA,"Wet and unusable"
"Botanical Garden","6/16/2015",NA,"6/19/2015",NA,"5D",NA,NA,"Wet and unusable"
"Botanical Garden","6/16/2015",NA,"6/19/2015",NA,"8B",NA,NA,"Wet and unusable"
"Botanical Garden","6/16/2015",NA,"6/19/2015",NA,"1C",NA,NA,"Wet and unusable"
"Prairie Ridge","6/18/2015","10:05","6/22/2015","10:05","4E",6.6,29,""
"Prairie Ridge","6/18/2015","9:48","6/22/2015","10:15","3E",14.7,39,""
"Prairie Ridge","6/18/2015","9:07","6/22/2015","10:49","9E",6.9,9,""
"Prairie Ridge","6/18/2015","9:22","6/22/2015","10:40","5E",4.3,5,"Very storm-battered"
"Prairie Ridge","6/18/2015","8:56","6/22/2015","11:01","10E",2.1,7,""
"Prairie Ridge","6/18/2015","","6/22/2015","","12E",NA,NA,""
"Prairie Ridge","6/18/2015","","6/22/2015","","7E",NA,NA,""
"Prairie Ridge","6/18/2015","","6/22/2015","","2E",NA,NA,""
"Prairie Ridge","6/18/2015","","6/22/2015","","1E",NA,NA,""
"Botanical Garden","6/19/2015","8:56","6/23/2015","10:15","1B",11.3,35,""
"Botanical Garden","6/19/2015","10:37","6/23/2015","8:44","8D",2.3,13,""
"Botanical Garden","6/19/2015","9:05","6/23/2015","9:58","2B",11.4,18,"One long frass excluded from weight and count "
"Botanical Garden","6/19/2015","9:10","6/23/2015","10:00","2C",12.7,75,""
"Botanical Garden","6/19/2015","9:53","6/23/2015","9:13","5A",8,37,""
"Botanical Garden","6/19/2015","9:40","6/23/2015","9:31","4D",4.6,11,""
"Botanical Garden","6/19/2015","10:06","6/23/2015","8:57","6D",22.6,45,""
"Botanical Garden","6/19/2015","10:23","6/23/2015","8:49","7B",5.5,34,""
"Botanical Garden","6/19/2015","9:15","6/23/2015","9:42","3B",2.1,29,""
"Botanical Garden","6/19/2015","9:24","6/23/2015","9:45","3E",3,28,""
"Botanical Garden","6/19/2015","10:20","6/23/2015","8:51","7E",1.5,23,""
"Botanical Garden","6/19/2015","10:10","6/23/2015","9:03","6C",3.5,17,"Three long frass excluded from weight and count "
"Botanical Garden","6/19/2015","9:37","6/23/2015","9:33","4E",16.1,20,""
"Botanical Garden","6/19/2015","9:55","6/23/2015","9:15","5D",20.7,15,""
"Botanical Garden","6/19/2015","10:33","6/23/2015","8:45","8B",8.2,8,""
"Botanical Garden","6/19/2015","9:00","6/23/2015","10:12","1C",8.1,22,""
"Prairie Ridge","6/22/2015","10:07","6/25/2015","9:42","4E",6.1,30,""
"Prairie Ridge","6/22/2015","10:17","6/25/2015","9:34","3E",20.2,39,"Had two large cylindrical frass"
"Prairie Ridge","6/22/2015","10:44","6/25/2015","9:00","9E",6.4,26,""
"Prairie Ridge","6/22/2015","9:57","6/25/2015","9:51","5E",35.6,36,"Had three large cylindrical frasses "
"Prairie Ridge","6/22/2015","11:03","6/25/2015","8:53","10E",15,49,"Some bits of frass exploded"
"Prairie Ridge","6/22/2015","9:48","6/25/2015","9:53","12E",12.5,28,""
"Prairie Ridge","6/22/2015","9:18","6/25/2015","10:18","7E",23.4,69,""
"Prairie Ridge","6/22/2015","10:29","6/25/2015","9:23","2E",3.5,13,""
"Prairie Ridge","6/22/2015","10:42","6/25/2015","9:15","1E",2.6,15,""
"Prairie Ridge","6/29/2015","10:06","7/2/2015","10:13","4E",19,50,""
"Prairie Ridge","6/29/2015","10:27","7/2/2015","9:51","2E",4.5,8,"tiny hole in bottom"
"Prairie Ridge","6/29/2015","9:50","7/2/2015","10:24","5E",50.1,86,"a lot of dust also in center likely from frass"
"Prairie Ridge","6/29/2015","10:16","7/2/2015","10:03","3E",20.3,16,""
"Prairie Ridge","6/29/2015","10:38","7/2/2015","9:41","1E",14.7,11,""
"Prairie Ridge","6/29/2015","11:00","7/2/2015","9:11","10E",4.5,13,""
"Prairie Ridge","6/29/2015","9:15","7/2/2015","10:55","7E",8.1,15,""
"Prairie Ridge","6/29/2015","9:45","7/2/2015","10:34","12E",7.3,14,""
"Prairie Ridge","6/29/2015","10:50","7/2/2015","9:28","9E",19.9,21,""
"Botanical Garden","6/30/2015","8:47","7/3/2015","9:46","7B",5.3,6,"dried over weekend"
"Botanical Garden","6/30/2015","8:52","7/3/2015","9:36","6D",6.9,18,""
"Botanical Garden","6/30/2015","9:26","7/3/2015","9:11","4D",7.8,9,"dried over weekend"
"Botanical Garden","6/30/2015","8:31","7/3/2015","9:58","8B",3.6,8,""
"Botanical Garden","6/30/2015","10:03","7/3/2015","8:31","1B",17.1,7,"dried over weekend, 2.5 long frass, slightly folded"
"Botanical Garden","6/30/2015","8:45","7/3/2015","9:44","7E",6.8,5,"2 long frass, fluffy material not counted"
"Botanical Garden","6/30/2015","9:50","7/3/2015","8:43","2B",1,13,"dried over weekend, cluster of 9 tiny ones included in count"
"Botanical Garden","6/30/2015","9:53","7/3/2015","8:46","2C",13.7,30,"likely exploded frass in bottom not counted"
"Botanical Garden","6/30/2015","9:05","7/3/2015","9:21","5A",0.6,4,""
"Botanical Garden","6/30/2015","9:40","7/3/2015","8:59","3E",3.8,25,"dried over weekend, decayed plant material that was likely part of frass not counted"
"Botanical Garden","6/30/2015","8:35","7/3/2015","10:00","8D",9.4,16,""
"Botanical Garden","6/30/2015","9:07","7/3/2015","9:22","5D",13.8,27,"dried over weekend, decayed plant material that was likely part of frass not counted"
"Botanical Garden","6/30/2015","9:25","7/3/2015","9:08","4E",7.2,17,"one large questionable frass"
"Botanical Garden","6/30/2015","9:38","7/3/2015","8:56","3B",11.5,40,"fluffly material, number is approximate"
"Botanical Garden","6/30/2015","8:50","7/3/2015","9:34","6C",11.2,4,"2 long frass"
"Botanical Garden","6/30/2015","10:01","7/3/2015","8:29","1C",7,14,""
"Prairie Ridge","7/2/2015","10:15","7/6/2015","10:00","4E",7.7,16,"Fluffy material inside"
"Prairie Ridge","7/2/2015","10:03","7/6/2015","10:12","3E",6.3,27,"Found folded over"
"Prairie Ridge","7/2/2015","9:30","7/6/2015","10:47","9E",6.4,20,""
"Prairie Ridge","7/2/2015","10:25","7/6/2015","9:51","5E",26.2,26,"Two long, cylindrical pieces of frass; fluffy material inside"
"Prairie Ridge","7/2/2015","9:12","7/6/2015","10:50","10E",12.2,17,""
"Prairie Ridge","7/2/2015","10:31","7/6/2015","9:41","12E",8.5,29,""
"Prairie Ridge","7/2/2015","10:56","7/6/2015","9:11","7E",15.3,21,"Fluffy material"
"Prairie Ridge","7/2/2015","9:53","7/6/2015","10:26","2E",4.6,13,""
"Prairie Ridge","7/2/2015","9:42","7/6/2015","10:29","1E",14.3,12,"Folded over when found; fluffy material and exploded frass found inside"
"Botanical Garden","7/3/2015","8:32","7/7/2015","10:07","1B",5.7,14,"Edges destroyed"
"Botanical Garden","7/3/2015","8:30","7/7/2015","10:06","1C",6.2,18,""
"Botanical Garden","7/3/2015","10:26","7/7/2015","9:53","2B",0.6,13,"Folded over when found"
"Botanical Garden","7/3/2015","8:47","7/7/2015","9:54","2C",12.6,21,"Fluffy material"
"Botanical Garden","7/3/2015","8:57","7/7/2015","9:41","3B",6.7,11,"Lots of unconsolidated fluffy material; 18 mm caterpillar found in trap"
"Botanical Garden","7/3/2015","8:59","7/7/2015","9:44","3E",0.8,6,"Fluffy material and exploded frass"
"Botanical Garden","7/3/2015","9:12","7/7/2015","9:25","4D",1,12,""
"Botanical Garden","7/3/2015","9:09","7/7/2015","9:23","4E",1.8,10,"Fluffy material inside"
"Botanical Garden","7/3/2015","9:22","7/7/2015","9:12","5A",16.1,9,"Fluffy material inside"
"Botanical Garden","7/3/2015","9:23","7/7/2015","9:14","5D",17.3,15,"Fluffy material inside"
"Botanical Garden","7/3/2015","9:35","7/7/2015","9:01","6C",4,16,"Found folded over"
"Botanical Garden","7/3/2015","9:37","7/7/2015","10:02","6D",1.7,9,"Fluffy material"
"Botanical Garden","7/3/2015","9:47","7/7/2015","5:51","7B",12.2,18,"Fluffy material"
"Botanical Garden","7/3/2015","9:45","7/7/2015","8:50","7E",0.4,5,""
"Botanical Garden","7/3/2015","9:59","7/7/2015","8:36","8B",1.2,6,"Fluffy material"
"Botanical Garden","7/3/2015","10:00","7/7/2015","8:37","8D",7.6,18,"Fluffy material"
"Prairie Ridge","7/6/2015","10:02","7/9/2015","10:05","4E",8.1,26,"Under heat lamp for 1 hr; Air dried overnight; Exploded frass and fluffy material in center"
"Prairie Ridge","7/6/2015","10:17","7/9/2015","9:54","3E",8.8,35,"Under heat lamp for 1 hr; Air dried overnight; Found folded over"
"Prairie Ridge","7/6/2015","10:48","7/9/2015","9:23","9E",7.9,11,"Under heat lamp for 1 hr; Air dried overnight; Many broken pieces"
"Prairie Ridge","7/6/2015","9:53","7/9/2015","10:08","5E",24.6,19,"Under heat lamp for 1 hr; Air dried overnight; Fluffy material in center"
"Prairie Ridge","7/6/2015","10:51","7/9/2015","9:12","10E",12.8,19,"Under heat lamp for 1 hr; Air dried overnight; Fluffy material in center"
"Prairie Ridge","7/6/2015","9:43","7/9/2015","10:19","12E",40.8,18,"Under heat lamp for 1 hr; Air dried overnight; One broke"
