RecordID	Date	Stateroutestop	Station	SurvType	TreeSpecies	LeafArea_pixels	RefArea_pixels	MeasuredFrom	RefType	RefArea_cm2	SpatialUncertainty	Notes	DataEntry
16.00	6/15/2011 0:00:00	2704132.00	F	V	ACRU	1030205.00	8409151.00	trace	8.5x11sheet	603.22			AO
17.00	5/21/2011 0:00:00	2704132.00	G	V	HAVI	959974.00	8409151.00	trace	8.5x11sheet	603.22			AO
18.00	6/6/2011 0:00:00	2704132.00	G	V	HAVI	1085427.00	8409151.00	trace	8.5x11sheet	603.22			AO
19.00	6/15/2011 0:00:00	2704132.00	G	V	FAGR	613583.00	8409151.00	trace	8.5x11sheet	603.22			AO
20.00	6/15/2011 0:00:00	2704132.00	G	V	FAGR	516652.00	8409151.00	trace	8.5x11sheet	603.22			AO
21.00	6/24/2011 0:00:00	2704132.00	G	V	FAGR	692034.00	8409151.00	trace	8.5x11sheet	603.22			AO
22.00	6/24/2011 0:00:00	2704132.00	G	V	FAGR	695577.00	8409151.00	trace	8.5x11sheet	603.22			AO
23.00	5/21/2011 0:00:00	2704132.00	H	V	MAFR	2509461.00	8409151.00	trace	8.5x11sheet	603.22			AO
24.00	5/28/2011 0:00:00	2704132.00	H	V	RHMA	218403.00	8409151.00	trace	8.5x11sheet	603.22			AO
25.00	5/28/2011 0:00:00	2704132.00	H	V	MAFR	4088041.00	8409151.00	trace	8.5x11sheet	603.22			AO
26.00	6/6/2011 0:00:00	2704132.00	H	V	KALA	198340.00	8409151.00	trace	8.5x11sheet	603.22			AO
27.00	6/24/2011 0:00:00	2704132.00	H	V	KALA	142440.00	8409151.00	trace	8.5x11sheet	603.22			AO
28.00	5/21/2011 0:00:00	2704132.00	I	V	RHMA	984315.00	8409151.00	trace	8.5x11sheet	603.22			AO
29.00	5/28/2011 0:00:00	2704132.00	I	V	RHMA	345486.00	8409151.00	trace	8.5x11sheet	603.22			AO
30.00	6/6/2011 0:00:00	2704132.00	I	V	RHMA	564848.00	8409151.00	trace	8.5x11sheet	603.22			AO
31.00	6/15/2011 0:00:00	2704132.00	I	V	RHMA	1074338.00	8409151.00	trace	8.5x11sheet	603.22			AO
32.00	5/21/2011 0:00:00	2704132.00	J	V	RHMA	735901.00	8409151.00	trace	8.5x11sheet	603.22			AO
33.00	5/28/2011 0:00:00	2704132.00	J	V	HACA	356243.00	8409151.00	trace	8.5x11sheet	603.22			AO
34.00	6/6/2011 0:00:00	2704132.00	J	V	PYPU	608699.00	8409151.00	trace	8.5x11sheet	603.22			AO
35.00	6/24/2011 0:00:00	2704132.00	J	V	RHMA	752452.00	8409151.00	trace	8.5x11sheet	603.22			AO
36.00	5/21/2011 0:00:00	2704132.00	K	V	FAGR	517799.00	8409151.00	trace	8.5x11sheet	603.22			AO
37.00	5/21/2011 0:00:00	2704132.00	K	V	FAGR	650750.00	8409151.00	trace	8.5x11sheet	603.22			AO
38.00	5/28/2011 0:00:00	2704132.00	K	V	FAGR	757218.00	8409151.00	trace	8.5x11sheet	603.22			AO
39.00	6/6/2011 0:00:00	2704132.00	K	V	FAGR	525725.00	8409151.00	trace	8.5x11sheet	603.22			AO
40.00	6/6/2011 0:00:00	2704132.00	K	V	FAGR	322019.00	8409151.00	trace	8.5x11sheet	603.22			AO
41.00	6/6/2011 0:00:00	2704132.00	K	V	FAGR	322582.00	8409151.00	trace	8.5x11sheet	603.22			AO
42.00	6/15/2011 0:00:00	2704132.00	K	V	FAGR	374336.00	8409151.00	trace	8.5x11sheet	603.22			AO
43.00	6/15/2011 0:00:00	2704132.00	K	V	FAGR	404578.00	8409151.00	trace	8.5x11sheet	603.22			AO
44.00	5/21/2011 0:00:00	2704132.00	L	V	HACA	563289.00	8409151.00	trace	8.5x11sheet	603.22			AO
45.00	5/28/2011 0:00:00	2704132.00	L	V	ACSA	923579.00	8409151.00	trace	8.5x11sheet	603.22			AO
46.00	6/15/2011 0:00:00	2704132.00	L	V	NYSY	751611.00	8409151.00	trace	8.5x11sheet	603.22			AO
47.00	6/24/2011 0:00:00	2704132.00	L	V	FAGR	544156.00	8409151.00	trace	8.5x11sheet	603.22			AO
48.00	6/24/2011 0:00:00	2704132.00	L	V	FAGR	539114.00	8409151.00	trace	8.5x11sheet	603.22			AO
49.00	5/21/2011 0:00:00	2704132.00	M	V	FAGR	596478.00	8409151.00	trace	8.5x11sheet	603.22			AO
50.00	5/28/2011 0:00:00	2704132.00	M	V	HAVI	1127304.00	8409151.00	trace	8.5x11sheet	603.22			AO
51.00	5/21/2011 0:00:00	2704132.00	N	V	KALA	409241.00	8409151.00	trace	8.5x11sheet	603.22			AO
52.00	5/28/2011 0:00:00	2704132.00	N	V	ACPE	1892250.00	8409151.00	trace	8.5x11sheet	603.22			AO
53.00	5/21/2011 0:00:00	2704132.00	O	V	LIBE	724621.00	8409151.00	trace	8.5x11sheet	603.22			AO
54.00	5/28/2011 0:00:00	2704132.00	O	V	RHMA	838761.00	8409151.00	trace	8.5x11sheet	603.22			AO
55.00	5/21/2011 0:00:00	2704132.00	P	V	HAVI	840123.00	8409151.00	trace	8.5x11sheet	603.22			AO
56.00	5/28/2011 0:00:00	2704132.00	P	V		1732472.00	8409151.00	trace	8.5x11sheet	603.22		* Species not listed	AO
57.00	5/28/2011 0:00:00	2704132.00	Q	V	NYSY	458393.00	8409151.00	trace	8.5x11sheet	603.22			AO
58.00	6/6/2011 0:00:00	2704132.00	Q	V	LIBE	241521.00	8409151.00	trace	8.5x11sheet	603.22			AO
59.00	6/6/2011 0:00:00	2704132.00	Q	V	LIBE	241853.00	8409151.00	trace	8.5x11sheet	603.22			AO
60.00	6/24/2011 0:00:00	2704132.00		V	ACRU	511174.00	8409151.00	trace	8.5x11sheet	603.22	999	*station letter unlisted	AO
61.00	6/24/2011 0:00:00	2704132.00		V	ACRU	511174.00	8409151.00	trace	8.5x11sheet	603.22	999	*station letter unspecified	AO
62.00	5/29/2011 0:00:00	2890339.00	L	V	ACRU	1020887.00	8409151.00	trace	8.5x11sheet	603.22			AO
63.00	5/29/2010 0:00:00	6303105.00	1a	V	RHOD	709918.00	8409151.00	trace	8.5x11sheet	603.22			AF
64.00	5/29/2010 0:00:00	6303105.00	1b	V	KALA	212383.00	8409151.00	trace	8.5x11sheet	603.22			AF
65.00	5/29/2010 0:00:00	6303105.00	2a	V	CADE	1792370.00	8409151.00	trace	8.5x11sheet	603.22			AO
66.00	5/29/2010 0:00:00	6303105.00	2a	V	CADE	1916603.00	8409151.00	trace	8.5x11sheet	603.22			
67.00	5/29/2010 0:00:00	6303105.00	3a	V	OXAR	578659.00	8409151.00	trace	8.5x11sheet	603.22			AO
68.00	5/29/2010 0:00:00	6303105.00	3a	V	OXAR	495935.00	8409151.00	trace	8.5x11sheet	603.22			
69.00	5/29/2010 0:00:00	6303105.00	3b	V	HAVI	942137.00	8409151.00	trace	8.5x11sheet	603.22			AO
70.00	5/29/2010 0:00:00	6303105.00	3b	V	HAVI	967444.00	8409151.00	trace	8.5x11sheet	603.22			
71.00	5/29/2010 0:00:00	6303105.00	4a	V	RHOD	596892.00	8409151.00	trace	8.5x11sheet	603.22			AO
72.00	5/29/2010 0:00:00	6303105.00	4a	V	RHOD	670927.00	8409151.00	trace	8.5x11sheet	603.22			AF
73.00	5/29/2010 0:00:00	6303105.00	4b	V	RHOD	649195.00	8409151.00	trace	8.5x11sheet	603.22			AO
74.00	5/29/2010 0:00:00	6303105.00	4b	V	RHOD	697623.00	8409151.00	trace	8.5x11sheet	603.22			AF
75.00	5/29/2010 0:00:00	6303117.00	1a	V	FAGR	598667.00	8409151.00	trace	8.5x11sheet	603.22			AF
76.00	5/29/2010 0:00:00	6303117.00	1a	V	FAGR	614429.00	8409151.00	trace	8.5x11sheet	603.22			AF
77.00	5/29/2010 0:00:00	6303117.00	1a	V	FAGR	602894.00	8409151.00	trace	8.5x11sheet	603.22			AF
78.00	5/29/2010 0:00:00	6303117.00	1b	V	FAGR	376122.00	8409151.00	trace	8.5x11sheet	603.22			AF
79.00	5/29/2010 0:00:00	6303117.00	1b	V	FAGR	385670.00	8409151.00	trace	8.5x11sheet	603.22			AF
80.00	5/29/2010 0:00:00	6303117.00	2a	V	RHOD	431818.00	8409151.00	trace	8.5x11sheet	603.22			AF
81.00	5/29/2010 0:00:00	6303117.00	2b	V	ACSA	559969.00	8409151.00	trace	8.5x11sheet	603.22			AF
82.00	5/29/2010 0:00:00	6303117.00	3a	V	FAGR	363988.00	8409151.00	trace	8.5x11sheet	603.22			AO
83.00	5/29/2010 0:00:00	6303117.00	3a	V	RHOD	667589.00	8409151.00	trace	8.5x11sheet	603.22			AF
84.00	5/29/2010 0:00:00	6303117.00	3b	V	FAGR	291210.00	8409151.00	trace	8.5x11sheet	603.22			AO
85.00	5/29/2010 0:00:00	6303117.00	3b	V	FAGR	516650.00	8409151.00	trace	8.5x11sheet	603.22			AF
86.00	5/29/2010 0:00:00	6303117.00	3b	V	FAGR	506189.00	8409151.00	trace	8.5x11sheet	603.22			AF
87.00	5/29/2010 0:00:00	6303117.00	4a	V	ACSA	478462.00	8409151.00	trace	8.5x11sheet	603.22			AO
88.00	5/29/2010 0:00:00	6303117.00	4a	V	RHOD	1073264.00	8409151.00	trace	8.5x11sheet	603.22			AF
89.00	5/29/2010 0:00:00	6303117.00	4b	V	RHOD	736532.00	8409151.00	trace	8.5x11sheet	603.22			AO
90.00	5/29/2010 0:00:00	6303117.00	4b	V	RHOD	840652.00	8409151.00	trace	8.5x11sheet	603.22			AF
91.00	5/29/2010 0:00:00	6303117.00	4b	V	RHOD	837563.00	8409151.00	trace	8.5x11sheet	603.22			AF
92.00	5/30/2011 0:00:00	6303117.00	A	V	RHMA	462010.00	8409151.00	trace	8.5x11sheet	603.22			AF
93.00	6/17/2011 0:00:00	6303117.00	A	V	RHMA	637246.00	8409151.00	trace	8.5x11sheet	603.22			AF
94.00	6/26/2011 0:00:00	6303117.00	A	V	RHMA	792614.00	8409151.00	trace	8.5x11sheet	603.22			AF
95.00	7/6/2011 0:00:00	6303117.00	A	V	RHMA	916755.00	8409151.00	trace	8.5x11sheet	603.22			AF
96.00	5/30/2011 0:00:00	6303117.00	B	V	RHMA	556788.00	8409151.00	trace	8.5x11sheet	603.22			AF
97.00	6/8/2011 0:00:00	6303117.00	B	V	RHMA	879370.00	8409151.00	trace	8.5x11sheet	603.22			AF
98.00	6/17/2011 0:00:00	6303117.00	B	V	RHMA	815465.00	8409151.00	trace	8.5x11sheet	603.22			AF
99.00	6/26/2011 0:00:00	6303117.00	B	V	KALA	251132.00	8409151.00	trace	8.5x11sheet	603.22			AF
100.00	7/6/2011 0:00:00	6303117.00	B	V	RHMA	924960.00	8409151.00	trace	8.5x11sheet	603.22			AF
101.00	5/30/2011 0:00:00	6303117.00	C	V	MAFR	3927850.00	8409151.00	trace	8.5x11sheet	603.22			AF
102.00	6/17/2011 0:00:00	6303117.00	C	V	MAFR	2453775.00	8409151.00	trace	8.5x11sheet	603.22			AF
103.00	6/26/2011 0:00:00	6303117.00	C	V	TIAM	1511775.00	8409151.00	trace	8.5x11sheet	603.22			AF
104.00	7/6/2011 0:00:00	6303117.00	C	V	TIAM	1491018.00	8409151.00	trace	8.5x11sheet	603.22			AF
105.00	6/8/2011 0:00:00	6303117.00	D	V	RHMA	882636.00	8409151.00	trace	8.5x11sheet	603.22			AF
106.00	6/26/2011 0:00:00	6303117.00	D	V	KALA	170043.00	8409151.00	trace	8.5x11sheet	603.22			AF
107.00	7/6/2011 0:00:00	6303117.00	D	V	RHMA	581206.00	8409151.00	trace	8.5x11sheet	603.22			AF
108.00	6/8/2011 0:00:00	6303117.00	E	V	RHMA	836581.00	8409151.00	trace	8.5x11sheet	603.22			AF
109.00	6/26/2011 0:00:00	6303117.00	E	V	RHMA	530137.00	8409151.00	trace	8.5x11sheet	603.22			AF
110.00	7/6/2011 0:00:00	6303117.00	E	V	RHMA	595251.00	8409151.00	trace	8.5x11sheet	603.22			AF
111.00	6/8/2011 0:00:00	6303117.00	F	V	RHMA	660974.00	8409151.00	trace	8.5x11sheet	603.22			AF
112.00	6/17/2011 0:00:00	6303117.00	F	V	RHMA	710988.00	8409151.00	trace	8.5x11sheet	603.22			AF
113.00	6/26/2011 0:00:00	6303117.00	F	V	KALA	248481.00	8409151.00	trace	8.5x11sheet	603.22			AF
114.00	7/6/2011 0:00:00	6303117.00	F	V	RHMA	695952.00	8409151.00	trace	8.5x11sheet	603.22			AF
115.00	5/30/2011 0:00:00	6303117.00	G	V	RHMA	663908.00	8409151.00	trace	8.5x11sheet	603.22			AF
116.00	6/8/2011 0:00:00	6303117.00	G	V	RHMA	447501.00	8409151.00	trace	8.5x11sheet	603.22			AF
117.00	6/17/2011 0:00:00	6303117.00	G	V	RHMA	627712.00	8409151.00	trace	8.5x11sheet	603.22			AF
118.00	6/26/2011 0:00:00	6303117.00	G	V	RHMA	982244.00	8409151.00	trace	8.5x11sheet	603.22			AF
119.00	6/8/2011 0:00:00	6303117.00	H	V	RHMA	644113.00	8409151.00	trace	8.5x11sheet	603.22			AF
120.00	6/26/2011 0:00:00	6303117.00	H	V	RHMA	736831.00	8409151.00	trace	8.5x11sheet	603.22			AF
121.00	5/30/2011 0:00:00	6303117.00	I	V	FAGR	585572.00	8409151.00	trace	8.5x11sheet	603.22			AF
122.00	6/8/2011 0:00:00	6303117.00	I	V	FAGR	483032.00	8409151.00	trace	8.5x11sheet	603.22			AF
123.00	6/17/2011 0:00:00	6303117.00	I	V	FAGR	623136.00	8409151.00	trace	8.5x11sheet	603.22			AF
124.00	6/26/2011 0:00:00	6303117.00	I	V	FAGR	325276.00	8409151.00	trace	8.5x11sheet	603.22			AF
125.00	6/8/2011 0:00:00	6303117.00	J	V	RHMA	720151.00	8409151.00	trace	8.5x11sheet	603.22			AF
126.00	6/17/2011 0:00:00	6303117.00	J	V	RHMA	605451.00	8409151.00	trace	8.5x11sheet	603.22			AF
127.00	6/26/2011 0:00:00	6303117.00	J	V	RHMA	985676.00	8409151.00	trace	8.5x11sheet	603.22			AF
128.00	5/30/2011 0:00:00	6303117.00	K	V	FAGR	880255.00	8409151.00	trace	8.5x11sheet	603.22			AF
129.00	6/8/2011 0:00:00	6303117.00	K	V	RHMA	575451.00	8409151.00	trace	8.5x11sheet	603.22			AF
130.00	6/17/2011 0:00:00	6303117.00	K	V	ACSA	769678.00	8409151.00	trace	8.5x11sheet	603.22			AF
131.00	6/17/2011 0:00:00	6303117.00	K	V	FAGR	839121.00	8409151.00	trace	8.5x11sheet	603.22			AF
132.00	6/26/2011 0:00:00	6303117.00	K	V	RHMA	1000726.00	8409151.00	trace	8.5x11sheet	603.22			AF
133.00	6/8/2011 0:00:00	6303117.00	L	V	FAGR	472449.00	8409151.00	trace	8.5x11sheet	603.22			AF
134.00	6/17/2011 0:00:00	6303117.00	L	V	FAGR	518351.00	8409151.00	trace	8.5x11sheet	603.22			AF
135.00	6/26/2011 0:00:00	6303117.00	L	V	FAGR	696281.00	8409151.00	trace	8.5x11sheet	603.22			AF
136.00	5/30/2011 0:00:00	6303117.00	M	V	UNID	312192.00	8409151.00	trace	8.5x11sheet	603.22			AF
137.00	6/8/2011 0:00:00	6303117.00	M	V	AEFL	1050847.00	8409151.00	trace	8.5x11sheet	603.22			AF
138.00	6/17/2011 0:00:00	6303117.00	M	V	ACPE	1927035.00	8409151.00	trace	8.5x11sheet	603.22			AF
139.00	6/26/2011 0:00:00	6303117.00	M	V	AEFL	621683.00	8409151.00	trace	8.5x11sheet	603.22			AF
140.00	7/6/2011 0:00:00	6303117.00	M	V	ACPE	618252.00	8409151.00	trace	8.5x11sheet	603.22			AF
141.00	5/30/2011 0:00:00	6303117.00	N	V	HAVI	770190.00	8409151.00	trace	8.5x11sheet	603.22			AF
142.00	6/17/2011 0:00:00	6303117.00	N	V	HAVI	628679.00	8409151.00	trace	8.5x11sheet	603.22			AF
143.00	6/26/2011 0:00:00	6303117.00	N	V	HAVI	813964.00	8409151.00	trace	8.5x11sheet	603.22			AF
144.00	5/30/2011 0:00:00	6303117.00	O	V	ACSA	734455.00	8409151.00	trace	8.5x11sheet	603.22			AF
145.00	6/17/2011 0:00:00	6303117.00	O	V	ACSA	601575.00	8409151.00	trace	8.5x11sheet	603.22			AF
146.00	6/26/2011 0:00:00	6303117.00	O	V	HAVI	925018.00	8409151.00	trace	8.5x11sheet	603.22			AF
147.00	5/30/2011 0:00:00	6303117.00	P	V	HAVI	743482.00	8409151.00	trace	8.5x11sheet	603.22			AF
148.00	6/8/2011 0:00:00	6303117.00	P	V	HAVI	829020.00	8409151.00	trace	8.5x11sheet	603.22			AF
149.00	6/17/2011 0:00:00	6303117.00	P	V	HAVI	569232.00	8409151.00	trace	8.5x11sheet	603.22			AF
150.00	6/26/2011 0:00:00	6303117.00	P	V	ACPE	1549945.00	8409151.00	trace	8.5x11sheet	603.22			AF
151.00	7/6/2011 0:00:00	6303117.00	P	V	HAVI	504560.00	8409151.00	trace	8.5x11sheet	603.22			AF
152.00	5/30/2011 0:00:00	6303117.00	Q	V	HAVI	922656.00	8409151.00	trace	8.5x11sheet	603.22			AF
153.00	6/8/2011 0:00:00	6303117.00	Q	V	HAVI	912999.00	8409151.00	trace	8.5x11sheet	603.22			AF
154.00	6/17/2011 0:00:00	6303117.00	Q	V	HAVI	568904.00	8409151.00	trace	8.5x11sheet	603.22			AF
155.00	6/26/2011 0:00:00	6303117.00	Q	V	HAVI	889075.00	8409151.00	trace	8.5x11sheet	603.22			AF
156.00	6/8/2011 0:00:00	6303117.00	R	V	ACPE	1584859.00	8409151.00	trace	8.5x11sheet	603.22			AF
157.00	6/17/2011 0:00:00	6303117.00	R	V	HAVI	1093768.00	8409151.00	trace	8.5x11sheet	603.22			AF
158.00	6/26/2011 0:00:00	6303117.00	R	V	HAVI	918788.00	8409151.00	trace	8.5x11sheet	603.22			AF
159.00	6/12/2010 0:00:00	6390615.00	1a	V	ACSA	412519.00	8409151.00	trace	8.5x11sheet	603.22			AF
160.00	6/12/2010 0:00:00	6390615.00	1b	V	ACSA	677707.00	8409151.00	trace	8.5x11sheet	603.22			AF
161.00	6/3/2010 0:00:00	6390615.00	2A	V	ACPE	1280647.00	8409151.00	trace	8.5x11sheet	603.22			AO
162.00	6/12/2010 0:00:00	6390615.00	2a	V	HAVI	894380.00	8409151.00	trace	8.5x11sheet	603.22			AF
163.00	6/3/2010 0:00:00	6390615.00	2B	V	ACPE	1152090.00	8409151.00	trace	8.5x11sheet	603.22			AO
164.00	6/12/2010 0:00:00	6390615.00	2b	V	ACPE	1558114.00	8409151.00	trace	8.5x11sheet	603.22			AF
165.00	6/12/2010 0:00:00	6390615.00	3a	V	RHOD	639578.00	8409151.00	trace	8.5x11sheet	603.22			AF
166.00	6/12/2010 0:00:00	6390615.00	3b	V	AEFL	754351.00	8409151.00	trace	8.5x11sheet	603.22			AF
167.00	6/12/2010 0:00:00	6390615.00	4a	V	ACSA	637260.00	8409151.00	trace	8.5x11sheet	603.22			AF
168.00	6/12/2010 0:00:00	6390615.00	4b	V	RHOD	915656.00	8409151.00	trace	8.5x11sheet	603.22			AF
169.00	6/5/2010 0:00:00	6390644.00	1a	V		1186468.00	8409151.00	trace	8.5x11sheet	603.22		no species	AF
170.00	6/5/2011 0:00:00	6390644.00	1a	V		1059358.00	8409151.00	trace	8.5x11sheet	603.22		* no species name	AO
171.00	6/5/2010 0:00:00	6390644.00	1b	V		301808.00	8409151.00	trace	8.5x11sheet	603.22		no species	AF
172.00	6/5/2011 0:00:00	6390644.00	1b	V		250732.00	8409151.00	trace	8.5x11sheet	603.22		* no species name	AO
173.00	6/5/2010 0:00:00	6390644.00	2a	V	ACRU	965247.00	8409151.00	trace	8.5x11sheet	603.22			
174.00	6/5/2010 0:00:00	6390644.00	2b	V	CARY	1387892.00	8409151.00	trace	8.5x11sheet	603.22		carya tormatosa mockernot	
175.00	6/5/2010 0:00:00	6390644.00	3a	V	ACRU	1213589.00	8409151.00	trace	8.5x11sheet	603.22			AO
176.00	6/5/2010 0:00:00	6390644.00	3a	V	ACRU	1264399.00	8409151.00	trace	8.5x11sheet	603.22			AF
177.00	6/5/2010 0:00:00	6390644.00	3b	V	AEFL	1114719.00	8409151.00	trace	8.5x11sheet	603.22			AO
178.00	6/5/2010 0:00:00	6390644.00	3b	V	AEFL	1173699.00	8409151.00	trace	8.5x11sheet	603.22			AF
179.00	6/5/2010 0:00:00	6390644.00	4a	V	AEFL	703109.00	8409151.00	trace	8.5x11sheet	603.22			AO
180.00	6/5/2010 0:00:00	6390644.00	4a	V	AEFL	774784.00	8409151.00	trace	8.5x11sheet	603.22			AF
181.00	6/5/2010 0:00:00	6390644.00	4b	V	AEFL	477464.00	8409151.00	trace	8.5x11sheet	603.22			AO
182.00	6/5/2010 0:00:00	6390644.00	4b	V	AEFL	535541.00	8409151.00	trace	8.5x11sheet	603.22			AF
183.00	5/30/2011 0:00:00	6390644.00	A	V	RHMA	544901.00	8409151.00	trace	8.5x11sheet	603.22			AF
184.00	6/17/2011 0:00:00	6390644.00	A	V	PYPU	269417.00	8409151.00	trace	8.5x11sheet	603.22			AF
185.00	6/26/2011 0:00:00	6390644.00	A	V	RHMA	850296.00	8409151.00	trace	8.5x11sheet	603.22			AF
186.00	5/30/2011 0:00:00	6390644.00	B	V	ACPE	1251284.00	8409151.00	trace	8.5x11sheet	603.22			AF
187.00	6/26/2011 0:00:00	6390644.00	B	V	RHMA	855481.00	8409151.00	trace	8.5x11sheet	603.22			AF
188.00	5/30/2011 0:00:00	6390644.00	C	V	RHMA	813729.00	8409151.00	trace	8.5x11sheet	603.22			AF
189.00	6/17/2011 0:00:00	6390644.00	C	V	RHMA	750620.00	8409151.00	trace	8.5x11sheet	603.22			AF
190.00	6/26/2011 0:00:00	6390644.00	C	V	CARY	569517.00	8409151.00	trace	8.5x11sheet	603.22			AF
191.00	5/30/2011 0:00:00	6390644.00	D	V	ACSA	960701.00	8409151.00	trace	8.5x11sheet	603.22			AF
192.00	6/17/2011 0:00:00	6390644.00	D	V	RUBU	634832.00	8409151.00	trace	8.5x11sheet	603.22			AF
193.00	6/26/2011 0:00:00	6390644.00	D	V	HAVI	890742.00	8409151.00	trace	8.5x11sheet	603.22			AF
194.00	5/30/2011 0:00:00	6390644.00	E	V	HAVI	730091.00	8409151.00	trace	8.5x11sheet	603.22			AF
195.00	5/30/2011 0:00:00	6390644.00	E	V	TIAM	1350543.00	8409151.00	trace	8.5x11sheet	603.22			AF
196.00	6/17/2011 0:00:00	6390644.00	E	V	AEFL	656476.00	8409151.00	trace	8.5x11sheet	603.22			AF
197.00	6/26/2011 0:00:00	6390644.00	E	V	ACRU	1183007.00	8409151.00	trace	8.5x11sheet	603.22			AF
198.00	6/26/2011 0:00:00	6390644.00	F	V	AEFL	854729.00	8409151.00	trace	8.5x11sheet	603.22			AF
199.00	5/23/2011 0:00:00	6390644.00	G	V	PYPU	965789.00	8409151.00	trace	8.5x11sheet	603.22			AF
200.00	6/8/2011 0:00:00	6390644.00	G	V	FAGR	803839.00	8409151.00	trace	8.5x11sheet	603.22			AF
201.00	6/26/2011 0:00:00	6390644.00	G	V	ACRU	963549.00	8409151.00	trace	8.5x11sheet	603.22			AF
202.00	5/23/2011 0:00:00	6390644.00	H	V	PYPU	597993.00	8409151.00	trace	8.5x11sheet	603.22			AF
203.00	6/26/2011 0:00:00	6390644.00	H	V	CARY	1809600.00	8409151.00	trace	8.5x11sheet	603.22			AF
204.00	6/26/2011 0:00:00	6390644.00	I	V	QUMO	1093206.00	8409151.00	trace	8.5x11sheet	603.22			AF
205.00	5/30/2011 0:00:00	6390644.00	J	V	AEFL	670650.00	8409151.00	trace	8.5x11sheet	603.22			AF
206.00	6/26/2011 0:00:00	6390644.00	J	V	QURU	955353.00	8409151.00	trace	8.5x11sheet	603.22			AF
207.00	5/30/2011 0:00:00	6390644.00	K	V	QURU	1404023.00	8409151.00	trace	8.5x11sheet	603.22			AF
208.00	6/26/2011 0:00:00	6390644.00	K	V	NYSY	323307.00	8409151.00	trace	8.5x11sheet	603.22			AF
209.00	5/30/2011 0:00:00	6390644.00	L	V	AEFL	516438.00	8409151.00	trace	8.5x11sheet	603.22			AF
210.00	6/5/2011 0:00:00	6390644.00	L	V	RHMA	1010272.00	8409151.00	trace	8.5x11sheet	603.22			AF
211.00	6/8/2011 0:00:00	6390644.00	L	V	AEFL	833743.00	8409151.00	trace	8.5x11sheet	603.22			AF
212.00	6/26/2011 0:00:00	6390644.00	L	V	CARY	851602.00	8409151.00	trace	8.5x11sheet	603.22			AF
213.00	6/26/2011 0:00:00	6390644.00	M	V	LITU	960178.00	8409151.00	trace	8.5x11sheet	603.22			AF
214.00	5/23/2011 0:00:00	6390644.00	N	V	ACPE	1979676.00	8409151.00	trace	8.5x11sheet	603.22			AF
215.00	6/26/2011 0:00:00	6390644.00	N	V	FAGR	881318.00	8409151.00	trace	8.5x11sheet	603.22			AF
216.00	5/23/2011 0:00:00	6390644.00	O	V	FAGR	513639.00	8409151.00	trace	8.5x11sheet	603.22			AF
217.00	5/30/2011 0:00:00	6390644.00	O	V	HAVI	879951.00	8409151.00	trace	8.5x11sheet	603.22			AF
218.00	5/30/2011 0:00:00	6390644.00	P	V	PIPU	503303.00	8409151.00	trace	8.5x11sheet	603.22			AF
219.00	6/26/2011 0:00:00	6390644.00	P	V	PYPU	558461.00	8409151.00	trace	8.5x11sheet	603.22			AF
220.00	5/23/2011 0:00:00	6390644.00	Q	V	PYPU	609016.00	8409151.00	trace	8.5x11sheet	603.22			AF
221.00	6/26/2011 0:00:00	6390644.00	Q	V	RHMA	674695.00	8409151.00	trace	8.5x11sheet	603.22			AF
